Ruund	French
Nakulejany chakin\ kamu, mwant ukumwinkish kashalapol winou ukurump wa kulam yom yend yawonsu.	Je vous le déclare, c'est la vérité: le maître lui confiera la charge de tous ses biens.
Pakwez anch kashalapol watonga kuyibul atushalapol akwau ni amilomb, wasambish kwifund kudia ni kuna ni kukwachik.	Mais si le serviteur se dit: “Mon maître tarde à revenir”, s'il se met alors à battre les autres serviteurs et les servantes, s'il mange, boit et s'enivre,
Chad mwamu, dichuku dimwing mwant wend ukez kumukashimwish chisu chakadiay ndiy kwijik. Chawiy Mwant wend ukez kumufish nich kwa kumujip, ukez kumutek ku mutambu umwing nau antu akad kumwitiyij Nzamb.	alors le maître reviendra un jour où le serviteur ne l'attend pas et à une heure qu'il ne connaît pas; il chassera le serviteur et lui fera partager le sort des infidèles.
“Kashalapol wija yom yisotilay mwant wend, chad ndiy kirijekinap mulong wa kuyisal, akez kumubul nfimbu nakash mulong wa kumulej kadimu.	Le serviteur qui sait ce que veut son maître, mais ne se tient pas prêt à le faire, recevra de nombreux coups.
Pakwez kashalapol wakad kwijik yom yisotilay mwant wend, anch wasal yom yifanyidina kumubudilau, akez kumubul nfimbu jikemp mulong wa kumulej kadimu. Muntu winkishau yom yivud, Nzamb ukez kumwipul kand yom yivud. Muntu winkishau yom yipandakena kuvul, Nzamb ukez kumwipul kand yom yipandakena kuvul.	Par contre, le serviteur qui ne sait pas ce que veut son maître et agit de telle façon qu'il mérite d'être battu, recevra peu de coups. A qui l'on a beaucoup donné, on demandera beaucoup; à qui l'on a confié beaucoup, on demandera encore plus.»
Yesu ukat kulet kwaurok	Jésus, cause de division
“Am neza mulong wa kulet kasu mu mangand, nisotil ing kasu kinak kokang kal.	«Je suis venu apporter un feu sur la terre et combien je voudrais qu'il soit déjà allumé!
Am nifanyidin kwandam mu mar mudi muntu ukata kwandam mu dibatish dia mem. Nikat kunenganan kamu djat ni pinikuwanyishina yom yiney!	Je dois recevoir un baptême et quelle angoisse pour moi jusqu'à ce qu'il soit accompli!
Ov, utongilany anch am neza ni kulet chisambu mu mangand? Bwat, kinezap kulet chisambu, pakwez neza kulet kwaurok.	Pensez-vous que je sois venu apporter la paix sur la terre? Non, je vous le dis, mais la division.
Kudiokal katat antu atan ashicha mu chikumbu chimwing, akez kwaurik. Antu asatu akez kuyipompat antu aad, niyau antu aad akez kuyipompat antu asatu.	Dès maintenant, une famille de cinq personnes sera divisée, trois contre deux et deux contre trois.
Atatuku akez kuyipompat anau amakundj, niyau an amakundj akez kuyipompat atatukwau. Amaku akez kuyipompat anau amband, niyau an amband akez kuyipompat amakwau: Makwend wa ikundj ukez kumupompat mband wa mwanend, niyend mband wa mwan ukez kumupompat makwend wa nfumwend.”	Le père sera contre son fils et le fils contre son père, la mère contre sa fille et la fille contre sa mère, la belle-mère contre sa belle-fille et la belle-fille contre sa belle-mère.»
Kwonganyin yijingidij ya chirung	Comprendre le sens des temps
Yesu wayileja kand antu avud anch: “Piukat kumanany didj didiokil mutambu wa kurand, ukat kulondany swa anch: ‘Ruvul usotil kunak.’ Chakin kamu, ukat kunak.	Jésus disait aussi à la foule: «Quand vous voyez un nuage se lever à l'ouest, vous dites aussitôt: “Il va pleuvoir”, et c'est ce qui arrive.
Chad piukat kumanany rinkind watut kudiokal mutambu wa kurul, ukat kulondany anch: ‘Ilel kukwez marungul nakash.’ Chakin kamu, makat kwez.	Et quand vous sentez souffler le vent du sud, vous dites: “Il va faire chaud”, et c'est ce qui arrive.
En, in rubabek, ukwetany manangu ma kujingunin yom yikumekana pansh ap mwiur, ov, ing, mulong wak ukangenanya kwov kurumburik kwa chirung chinech?	Hypocrites! Vous êtes capables de comprendre ce que signifient les aspects de la terre et du ciel; alors, pourquoi ne comprenez-vous pas le sens du temps présent?»
Chifanyidin kwovijan nend mukankuny	Trouver un arrangement avec son adversaire
“Ov, mulong wak kiukat kutondanyap chom chitentamina chifanyidina kusal?	«Pourquoi ne jugez-vous pas par vous-mêmes de la juste façon d'agir?
Anch muntu wakufund, chad wakutwal ku dirumburish, sal usu wa kwovijan nend mwi njil piwakad kal kushikany ku dirumburish. Chamwamu ukukudadamijan wa kutwal kudi ankalansambu, akukupan kudi amasalay, chawiy amasalay akukudjibwil mu rukan.	Si tu es en procès avec quelqu'un et que vous alliez ensemble au tribunal, efforce-toi de trouver un arrangement avec lui pendant que vous êtes en chemin. Tu éviteras ainsi que ton adversaire ne te traîne devant le juge, que le juge ne te livre à la police et que la police ne te jette en prison.
Nakulej chakin kamu, ukushakam mwinimwa djat ni piukufutila chikal chend chawonsu.”	Tu ne sortiras pas de là, je te l'affirme, tant que tu n'auras pas payé ta dette jusqu'au dernier centime.»
Karumun muchim, chamwamu ukufa	Changer de comportement ou mourir
Pa chisu chinicha antu amwing eza, amulej Yesu mulong wa in Galalia ajipau kudi Pilat padingau ni kulambul yakupesh yau kudi Nzamb.	En ce temps-là, quelques personnes vinrent raconter à Jésus comment Pilate avait fait tuer des Galiléens au moment où ils offraient des sacrifices à Dieu.
Yesu wayakula anch: “Ov, utongilany anch, in Galalia ina afa mwamu mulong ading in yitil kupandakanamu in Galalia akwau?	Jésus leur répondit: «Pensez-vous que si ces Galiléens ont été ainsi massacrés, cela signifie qu'ils étaient de plus grands pécheurs que tous les autres Galiléens?
Bwat! Nakulejany chakin, anch en kiukarumukinanyap kudiokal ku yitil yen, ukez kufany en awonsu mudi awiy.	Non, vous dis-je; mais si vous ne changez pas de comportement, vous mourrez tous comme eux.
Ov,‘utongilany nchik mulong wa antu dikum ni chinan awilau kudi dinguj dia ku Silowe? Ov, antu inay ading ayimp nakash kupandakanamu antu awonsu ashicha mu Yerusalem?	Et ces dix-huit personnes que la tour de Siloé a écrasées en s'écroulant, pensez-vous qu'elles étaient plus coupables que tous les autres habitants de Jérusalem?
Bwat! Nakulejany chakin, anch en kiukarumukinanyap kudiokal ku yitil yen, ukez kufany en awonsu mudi awiy.”	Non, vous dis-je; mais si vous ne changez pas de comportement, vous mourrez tous comme eux.»
Chishimu cha mutond wa nfung wakad kusongang mabuj	La parabole du figuier sans figues
Chawiy Yesu wayitila chishimu anch: “Muntu umwing wading ukwet mutond wa nfung mu chir chend cha nviny. Ndiy wayaku mulong wa kupol mabuj, pakwez katanakup chom.	Puis Jésus leur dit cette parabole: «Un homme avait un figuier planté dans sa vigne. Il vint y chercher des figues, mais n'en trouva pas.
Chad wamuleja mwin kulam chir anch: ‘Tal kwa, nez kal kunoku mivu yisatu mulong wa kupol mabuj ma nfung ku mutond winou, pakwez kinitanyinakup chom. Ukatula! Ov, mulong wak mutond winou usheshina divu chamwamu?’	Il dit alors au vigneron: “Regarde: depuis trois ans je viens chercher des figues sur ce figuier et je n'en trouve pas. Coupe-le donc! Pourquoi occupe-t-il du terrain inutilement?”
Chad mwin kulam chir wamwakula anch: ‘Mwant, ulika bil kand mutond winou muvu umwing. Am nikuupundil ni kutek yiyimp ya annam kwishin.	Mais le vigneron lui répondit: “Maître, laisse-le cette année encore; je vais creuser la terre tout autour et j'y mettrai du fumier.
Chawiy anch wasong mabuj muvu ukwezap ou, chiwamp nakash. Pakwez anch kiusonginap mabuj, chad ey ukutwish kuukatul kwey’ ”	Ainsi, il donnera peut-être des figues l'année prochaine; sinon, tu le feras couper.” »
Yesu ukat kumwok mband chilim pa Dichuku dia Kwiswedish	Jésus guérit une femme infirme le jour du sabbat
Pa Dichuku dimwing dia Kwiswedish, Yesu wading ni kulejan mu chikumbu cha kulembil.	Un jour de sabbat, Jésus enseignait dans une synagogue.
Mwinimwa mwading mband uyedila, wading ukwet chilembil mivu dikum ni chinan. Chilembil winou wading wamufumba kal nyim wakad kutwish kwonak.	Une femme malade se trouvait là: depuis dix-huit ans, un esprit mauvais la tenait courbée et elle était totalement incapable de se redresser.
Yesu, chamumanay mband winou, wamutazuka, wamwel anch: “Mband ey, mayej mey mapwa kal!”	Quand Jésus vit cette femme, il l'appela et lui dit: «Tu es délivrée de ta maladie.»
Yesu wamwanzuka makas, pawiy pinipa kamu, mband wonaka, wasambish kumutumbish Nzamb.	Il posa les mains sur elle et, aussitôt, elle se redressa et se mit à louer Dieu.
Mukurump wa chikumbu cha kulembil wajimana, mulong Yesu wokana pa Dichuku dia Kwiswedish. Chad wayileja antu anch: “Ukwetany machuku musamban ma kusal mudimu. Ezany machuku minam chakwel akokany, pakwez kangal wezany pa Dichuku dia Kwiswedish!” ‘	Mais le chef de la synagogue était indigné de ce que Jésus avait accompli une guérison le jour du sabbat. Il s'adressa alors à la foule: «Il y a six jours pendant lesquels on doit travailler; venez donc vous faire guérir ces jours-là et non le jour du sabbat!»
Nsalejetu wamwakula anch: “En, in rubabek en! Oku, en ukat kusurilany ngomb ap chimbur mulong wa kumutwal kuya kuna mem pa Dichuku dia Kwiswedish.'	Le Seigneur lui répondit en ces mots: «Hypocrites que vous êtes! Le jour du sabbat, chacun de vous détache de la crèche son bœuf ou son âne pour le mener boire, n'est-ce pas?
Katat mband winou udi wa a majuku ma Aburaham. Sakudimban wamukasa kal ku mayej mivu dikum ni chinan, ov, kinifanyidinap kumusuril ku mayej pa Dichuku dia Kwiswedish?”	Et cette femme, descendante d'Abraham, que Satan a tenue liée pendant dix-huit ans, ne fallait-il pas la détacher de ses liens le jour du sabbat?»
Mazu ma Yesu minam mayikwatisha akankuny nend usany. Pakwez antu akwau awonsu asangara mulong wa yom yiwamp yasalay Yesu.	Cette réponse de Jésus remplit de honte tous ses adversaires; mais la foule entière se réjouissait de toutes les œuvres magnifiques qu'il accomplissait.
Chishimu cha rubut rukemp	La parabole de la graine de moutarde
Yesu wipula anch: “Ov, Want wa Nzamb udi mudi chom ik? Ov, nikutwish kuufanakesh nich ik?	Jésus dit: «A quoi le Royaume de Dieu ressemble-t-il? A quoi puis-je le comparer?
Ufanaken mudi rubut ra mutond upidilau anch, mutard. Muntu warunona, warukun mu chir chend. Pirakula, rikal mutond ujim, chad atujil atunga yinswal yau ku mitiy.”	Il ressemble à une graine de moutarde qu'un homme a prise et mise en terre dans son jardin: elle a poussé, elle est devenue un arbre et les oiseaux ont fait leurs nids dans ses branches.»
Chishimu cha chivish	La parabole du levain
Yesu wipula kand anch: “Ov, nikutwish kufanakesh Want wa Nzamb nich ik?	Jésus dit encore: «A quoi puis-je comparer le Royaume de Dieu?
Ufanaken mudi chivish cha mabot chanonay mband, wasamp nich wung wa chimpay chakabuj, chakwel wung wawonsu ututuk.”	Il ressemble au levain qu'une femme prend et mêle à une grande quantité de farine, si bien que toute la pâte lève.»
Kachis kiwongina	La porte étroite
Yesu wendangana mu misumb ni mu mal, mulong wa kuyilej antu. Ndiy wading mu weny wa kuya ku Yerusalem.	Jésus traversait villes et villages et enseignait en faisant route vers Jérusalem.
Chad muntu umwing wamwipula anch: “Ov, Mwant, kukez kupand kwau ching antu akemp kusu?” Yesu wayileja antu anch:	Quelqu'un lui demanda: «Maître, n'y a-t-il que peu de gens qui seront sauvés?» Jésus répondit:
“Ikasikeshany, chakwel wandamany mu kachis kiwongina. Chakin, nakulejany anch, antu avud akupakish kwandaminamu, pakwez kakutwishap.	«Efforcez-vous d'entrer par la porte étroite; car, je vous l'affirme, beaucoup essayeront d'entrer et ne le pourront pas.
Mwant wa chikumbu ukez kulank, wapat ku chis. Chad anch en wimenany pol, wasambishany kukokal ku chis anch: ‘Mwant, itwanzurilaku!’ Ndiy ukez kukwakulany anch: ‘Am kinijap kuudiokilanya!’	«Quand le maître de maison se sera levé et aura fermé la porte à clé, vous vous trouverez dehors, vous vous mettrez à frapper à la porte et à dire: “Maître, ouvre-nous.” Il vous répondra: “Je ne sais pas d'où vous êtes!”
Chad en ukez kumwakulany anch: ‘Etu twadia ney ni kuna ney. Yey kand wading ni kulejan mu ul wetu!’	Alors, vous allez lui dire: “Nous avons mangé et bu avec toi, tu as enseigné dans les rues de notre ville.”
Pakwez ndiy ukez kukwakulany kand anch: ‘Kinijap kuudiokilany. Ndiokalany, en antu ayimp!’	Il vous dira de nouveau: “Je ne sais pas d'où vous êtes. Écartez-vous de moi, vous tous qui commettez le mal!”
Kwinikwa kwawiy kuukeza kudilany mansoj ni kwidia ku mazeu piukeza kumumanany Aburaham, ni Isak, ni Jakob, ni aruu a Nzamb awonsu mu Want wa Nzamb, chad en akukudjibwilany kwa!	C'est là que vous pleurerez et grincerez des dents, quand vous verrez Abraham, Isaac, Jacob et tous les prophètes dans le Royaume de Dieu et que vous serez jetés dehors!
Antu akez kudiokal kwingangel, ni kurand, ni kwiyand, ni kurul, chad akez kushakam ku musambu mu Want wa Nzamb.	Des hommes viendront de l'est et de l'ouest, du nord et du sud et prendront place à table dans le Royaume de Dieu.
Chawiy antu adia a kwisudiel katat, akez kwikal a kusambish, chad antu adia a kusambish katat, akez kwikal a kwisudiel.”	Et alors, certains de ceux qui sont maintenant les derniers seront les premiers et d'autres qui sont maintenant les premiers seront les derniers.»
Yesu ukatil Yerusalem	Jésus et Jérusalem
Pa chisu chinicha Afaris amwing eza kudi Yesu, amwel anch: “Ufanyidin kudiokal kunoku, mulong Herod usotil kukujip.”	A ce moment-là, quelques Pharisiens s'approchèrent de Jésus et lui dirent: «Pars d'ici, va-t'en ailleurs, car Hérode veut te faire mourir.»
Yesu wayakula anch: “Yangany, ukamulejany katwiy winiwa anch: ‘Am nikat kuyidiosh ayilembil ni kwok ayej ilel ni diamashik, dichadia nikupwish mudimu wam.’	Jésus leur répondit: «Allez dire à cette espèce de renard: “Je chasse des esprits mauvais et j'accomplis des guérisons aujourd'hui et demain, et le troisième jour j'achève mon œuvre.”
Pakwez chifanyidin am kudandamen mu weny wam ilel ni diamashik ni dichadia, mulong kichifanyidinap muruu wa Nzamb kufil ndond yindj, ching kamu mu Yerusalem.	Mais il faut que je continue ma route aujourd'hui, demain et le jour suivant, car il ne convient pas qu'un prophète soit mis à mort ailleurs qu'à Jérusalem.
“A! En, in Yerusalem, in Yerusalem! Wajipinany kal aruu a Nzamb, wayasinany kal mayal aruu akutuminanyay Nzamb! Tupamp tuvud am nasota kukukumangejinany pamwing, mudi mukat kukumangejay nzol anend mu jimpur. Pakwez en walikanya!	«Jérusalem, Jérusalem, toi qui mets à mort les prophètes et tues à coups de pierres ceux que Dieu t'envoie! Combien de fois ai-je désiré rassembler tes habitants auprès de moi comme une poule rassemble ses poussins sous ses ailes, mais vous ne l'avez pas voulu!
Chawiy katat Chikumbu chen cha Nzamb chikez kushal chamwamu. Nakulejany chakin, kiukez kwinmananyap kand djat ni ku chisu chiukeza kulondany anch: ‘Nzamb amuyukish wezidila mu dijin dia Chinawej.’	Eh bien, votre maison va être abandonnée. Je vous le déclare: vous ne me verrez plus jusqu'à ce que vienne le moment où vous direz: “Que Dieu bénisse celui qui vient au nom du Seigneur!” »
Yesu ukat kumwok muyej	Jésus guérit un malade
Pa Dichuku dimwing dia Kwiswedish, Yesu waya mu kudia kwa mukurump umwing wa Afaris. Antu adinga mwinimwa amutala Yesu neeng.	Un jour de sabbat, Jésus se rendit chez un des chefs des Pharisiens pour y prendre un repas. Ceux qui étaient là observaient attentivement Jésus.
Kwading muntu unanyin mend ni makas mudi musong wa chizavu weza kudi Yesu.	Un homme atteint d'hydropisie se tenait devant lui.
Chad Yesu wayipula alej a Yijil nau Afaris anch: “Ov, Yijil yetu yilejen kwokan pa Dichuku dia Kwiswedish, anch bwat?”	Jésus prit la parole et demanda aux maîtres de la loi et aux Pharisiens: «Notre loi permet-elle ou non de faire une guérison le jour du sabbat?»
Pakwez awiy alika kumwakul. Yesu wamukwataku muyej, wamwok, wamwel anch: “Yang kwol kwey.”	Mais ils ne voulurent pas répondre. Alors Jésus toucha le malade, le guérit et le renvoya.
Chad Yesu wayipula anch: “Anch muntu umwing wa pakach penen ukwet mwan ikundj ap ngomb wawil mu dijiy pa Dichuku dia Kwiswedish, ap anch didiap nchik Dichuku dia Kwiswedish, ov, kakumudioshap swa?”	Puis il leur dit: «Si l'un de vous a un fils ou un bœuf qui tombe dans un puits, ne va-t-il pas l'en retirer aussitôt, même le jour du sabbat?»
Pakwez awiy kamanap mwa kumwakwil.	Ils furent incapables de répondre à cela.
